x           y           z           G           L           T
0.007000 0.000000 0.000000 420371.022489 782700.902199 420493.434815 1363.000000
0.007133 0.000000 0.000000 419753.215826 727928.624025 419875.319665 1338.502222
0.007267 0.000000 0.000000 419141.509783 675131.792808 419263.304641 1313.542222
0.007400 0.000000 0.000000 418536.223710 624363.784703 418657.709254 1288.120000
0.007533 0.000000 0.000000 417937.651848 575670.598641 418058.828041 1262.235556
0.007667 0.000000 0.000000 417346.062903 529090.693114 417466.930196 1235.888889
0.007800 0.000000 0.000000 416761.699719 484654.847018 416882.259309 1209.080000
0.007933 0.000000 0.000000 416184.779051 442386.046020 416305.033224 1181.808889
0.008067 0.000000 0.000000 415615.491433 402299.395927 415735.444024 1154.075556
0.008200 0.000000 0.000000 415054.001164 364402.064569 415173.658159 1125.880000
0.008333 0.000000 0.000000 414500.446388 328693.253752 414619.816725 1097.222222
0.008467 0.000000 0.000000 413954.939300 295164.202823 414074.035914 1068.102222
0.008600 0.000000 0.000000 413417.566448 263798.225456 413536.407678 1038.520000
0.008733 0.000000 0.000000 412888.389165 234570.781266 413007.000635 1008.475556
0.008867 0.000000 0.000000 412367.444107 207449.583903 412485.861296 977.968889
0.009000 0.000000 0.000000 411854.743911 182394.747285 411973.015741 947.000000
0.009133 0.000000 0.000000 411350.277975 159358.971675 411468.471942 915.568889
0.009267 0.000000 0.000000 410854.013354 138287.771321 410972.223107 883.675556
0.009400 0.000000 0.000000 410365.895771 119119.745405 410484.252724 851.320000
0.009533 0.000000 0.000000 409885.850756 101786.894072 410004.542555 818.502222
0.009667 0.000000 0.000000 409413.784897 86214.981349 409533.085938 785.222222
0.009800 0.000000 0.000000 408949.587205 72323.946770 409069.910866 751.480000
0.009933 0.000000 0.000000 408493.130598 60028.367566 408615.121385 717.275556
