x           y           z           G           L           A           T
-0.004526 0.000000 0.000000 424363.084558 2773016.064581 453337.578817 1869.971526
-0.004504 0.000000 0.000000 424376.487915 2780164.469690 453364.411233 1871.175487
-0.004483 0.000000 0.000000 424389.772208 2787293.341875 453391.055398 1872.373848
-0.004463 0.000000 0.000000 424402.936671 2794402.506721 453417.510027 1873.566609
-0.004442 0.000000 0.000000 424415.980542 2801491.790231 453443.773994 1874.753771
-0.004421 0.000000 0.000000 424428.903058 2808561.018835 453469.846013 1875.935332
-0.004400 0.000000 0.000000 424441.703461 2815610.019391 453495.724968 1877.111294
-0.004379 0.000000 0.000000 424454.380992 2822638.619191 453521.409575 1878.281656
-0.004358 0.000000 0.000000 424466.934895 2829646.645968 453546.898726 1879.446418
-0.004337 0.000000 0.000000 424479.364415 2836633.927901 453572.191141 1880.605580
-0.004315 0.000000 0.000000 424491.668800 2843600.293616 453597.285717 1881.759143
-0.004295 0.000000 0.000000 424503.847297 2850545.572199 453622.181182 1882.907106
-0.004274 0.000000 0.000000 424515.899157 2857469.593191 453646.876435 1884.049469
-0.004253 0.000000 0.000000 424527.823634 2864372.186603 453671.370214 1885.186232
-0.004232 0.000000 0.000000 424539.619980 2871253.182915 453695.661420 1886.317395
-0.004211 0.000000 0.000000 424551.287451 2878112.413081 453719.748801 1887.442958
-0.004190 0.000000 0.000000 424562.825306 2884949.708537 453743.631257 1888.562922
-0.004169 0.000000 0.000000 424574.232803 2891764.901205 453767.307549 1889.677286
-0.004148 0.000000 0.000000 424585.509204 2898557.823497 453790.776575 1890.786050
-0.004126 0.000000 0.000000 424596.653772 2905328.308321 453814.037115 1891.889214
-0.004105 0.000000 0.000000 424607.665772 2912076.189083 453837.088056 1892.986778
-0.004084 0.000000 0.000000 424618.544470 2918801.299698 453859.928201 1894.078743
-0.004064 0.000000 0.000000 424629.289136 2925503.474589 453882.556425 1895.165107
-0.004043 0.000000 0.000000 424639.899040 2932182.548696 453904.971560 1896.245872
-0.004022 0.000000 0.000000 424650.373454 2938838.357476 453927.172457 1897.321037
-0.004001 0.000000 0.000000 424660.711654 2945470.736915 453949.157987 1898.390602
-0.003980 0.000000 0.000000 424670.912915 2952079.523525 453970.926975 1899.454568
-0.003959 0.000000 0.000000 424680.976516 2958664.554356 453992.478329 1900.512933
